feature,type,source,importance
is_new_building,boolean,CSV,CARE
prop_balcony,boolean,CSV,CARE
prop_elevator,boolean,CSV,CARE
prop_parking,boolean,CSV,CARE
prop_garage,boolean,CSV,CARE
animal_allowed,boolean,CSV,CARE
prop_child_friendly,boolean,CSV,CARE
availability_immediate,boolean,GEN,CARE
price_includes_utilities,boolean,GEN,CARE
is_house,boolean,GEN,CARE
is_wheelchair_accessible,boolean,GEN,CARE
is_furnished,boolean,GEN,CARE
has_modern_kitchen,boolean,GEN,CARE
has_open_kitchen,boolean,GEN,CARE
has_dishwasher,boolean,GEN,CARE
has_multiple_bathrooms,boolean,GEN,CARE
has_bathtub,boolean,GEN,CARE
has_washing_machine_in_unit,boolean,GEN,CARE
has_cellar_storage,boolean,GEN,CARE
has_terrace,boolean,GEN,CARE
prop_garden_private,boolean,GEN,CARE
view_lake,boolean,GEN,CARE
view_mountains,boolean,GEN,CARE
view_nature,boolean,GEN,CARE
condition_newly_renovated,boolean,GEN,CARE
condition_needs_renovation,boolean,GEN,CARE
vibe_bright_light,boolean,GEN,CARE
vibe_sunny,boolean,GEN,CARE
vibe_quiet_peaceful,boolean,GEN,CARE
vibe_family_friendly,boolean,GEN,CARE
location_urban_city_center,boolean,GEN,CARE
commute_excellent,boolean,GEN,CARE
close_to_train_station,boolean,GEN,CARE
close_to_bus_tram,boolean,GEN,CARE
close_to_supermarket,boolean,GEN,CARE
close_to_kindergarten,boolean,GEN,CARE
close_to_schools,boolean,GEN,CARE
suitability_students,boolean,GEN,CARE
